Total supply:  1000
############## Round 0 ##############
Account: 0xf13f0aa6450BAD6c899faf435C8D7eAa0D36EfF9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1845313964044298000, Bid count: 0
Account: 0xc978b5c7Fd3E2bf0a47b7E43C5535076AEaD2310, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2433660890602715300, Bid count: 0
Account: 0x03C16E5c41D70939515831E6E2fe4ff1f453Ce1F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2520229518939344400, Bid count: 0
Account: 0x7fAC1043D6E9f220c47D09aB7c0279cacf3ce359, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3388831260784213500, Bid count: 0
Account: 0x72b410F472B5CC46Bdf95672d2D1C29471A816d0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1596174363044570800, Bid count: 0
Account: 0xF06A310Db5B2d80B940d6B9483Af0A06b7b89CE6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2954911343825517000, Bid count: 0
Account: 0x3Aa7D87F55fD6AE06fc1703a0D497654f63f767F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3247280194864772700, Bid count: 0
Account: 0xa9253271c4a93FE59BD14624D7810dbB96daE5F1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3351114603615621400, Bid count: 0
Account: 0xE78c91Ec53c138158Cee855B0269263aA76EFE30, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3030808428957137000, Bid count: 0
Account: 0x496D15a0491BBD12F40bDCfDD7Eab879a0deb104, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1238709719316183300, Bid count: 0
Account: 0x610565906E855B38279dDce07A7caF9a49734Db1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3130477760521692200, Bid count: 0
Account: 0x39eD5A32C6d185527cf521C73aBD30b172C6D2DC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2503322229552601600, Bid count: 0
Account: 0xa0f2Cc48F834123922Cb52F2ed58BEF782298685, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1897756605956350400, Bid count: 0
Account: 0xC04D79900f79E0534796aB5081F77A435AFEFC46, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2923735350792184400, Bid count: 0
Account: 0xBE1038De79cA94d42ea13284a660325bAd47dB4b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2000951716203020000, Bid count: 0
Account: 0x6c6AAcF7AC0f7d776a65f6738215Ca8d03E1Bb9e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2380257757460854800, Bid count: 0
