Total supply:  1000
############## Round 0 ##############
Account: 0x9f31Ab6b97eCEbD49c7255b8fC849D7A1C35C19a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2434671667838728000, Bid count: 0
Account: 0xEC178A041122c81a5F3575a332Be7330eF1273C4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2056814088537447000, Bid count: 0
Account: 0x12deE7250F4f0F50342fCF54e35F3CEdb330a8fB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2450130736550288000, Bid count: 0
Account: 0xe47D89622865A1cC68fa91E29d3662d412ECE0d8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2708064100212367500, Bid count: 0
Account: 0xA008E883474025D35b0021Bbb95550aD672ea8aA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2784373926441520400, Bid count: 0
Account: 0xe7d0BA790ca699d3fCC79E8e4451C04Fd8CAaB0D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2381557008299160000, Bid count: 0
Account: 0x087d8056Cd4ADEB6dbac5e73910b3F4C42EBd399, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2473931597645903800, Bid count: 0
Account: 0x3312DaD0676cA22FF51aD0Ee71250B625c435131, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2415659412798581800, Bid count: 0
Account: 0x45327748c487EA9dc7e712936EE7bc6Dc4E4fffc, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2107221333482521600, Bid count: 0
Account: 0xC3e32A3186b5ac45181E352825A0B603DA069c22, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2668483943663630500, Bid count: 0
Account: 0x79C8d29430DB1D88f8CbB0cCcd100B10057c001E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1171815209305283600, Bid count: 0
Account: 0x2641B0fC4c944eE6a8Eba78AAC101Ba973694371, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3015696753191686500, Bid count: 0
Account: 0xDA17a896AE28eaC0d2d4832AD7fcd66c86E0F93d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1851826339194903500, Bid count: 0
Account: 0x32f83Bba2014F5fb6A295b4F26E036ae349f1516, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3457096063058712000, Bid count: 0
Account: 0xB38F23c1e68Df8E4E8De37B071A1699711cD9EA9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3005536912768575000, Bid count: 0
Account: 0x41cBec90DD4cAd2422d1294C1C1A3bC921f712B9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2877475878283092000, Bid count: 0
Account: 0xBC952583C82005524F375b18Aab8a598df997623, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1753182139642401200, Bid count: 0
Account: 0x4E0b27C493Cc4c19a128296bc54371660FDd7532, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1915752842492460100, Bid count: 0
Account: 0x44F12B300b50E85d026BFe845aB209cb18405dDB, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1731403332371089800, Bid count: 0
Account: 0x379CF1fC995265dEa8eBa9958025b9148d22f4C4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2046197154424123000, Bid count: 0
Account: 0xAEFB7F22DE09f4Bf861Fbbbf9f05B1787989b13e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2342623784069167500, Bid count: 0
Account: 0x5c21aaA0a413fA546392abbEc27C7829Eb04c6B4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3830411123293441000, Bid count: 0
Account: 0x19697eD4846d6933f1ee002ec1c16283aF61AD8A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2677945246590910000, Bid count: 0
Account: 0xBfee49c710C4a6751fc6eD4624011c049443C372, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1821183897883605200, Bid count: 0
Account: 0xDF2f6fFF9B1b376Bf3e62dCf7080E33f3895c0ff, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4048626748054248000, Bid count: 0
Account: 0x28c92B72373269C25202F2d85Ee0d5dC819B4562, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2980696293762709300, Bid count: 0
Account: 0x79A2D09Ba6CF9C8B128345FB3e592B7492cEc3f4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2361838054582573700, Bid count: 0
Account: 0x00c249B589e54A1cb76fA7Af24ee2E578B59Ed56, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2902332179801969700, Bid count: 0
Account: 0x53C1b597eCd43BB53DAf763e08B59F34c24036Be, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4462377951133742500, Bid count: 0
Account: 0xA84410ed9aCFf45f953E829300d001f112Cf8B11, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2395675234712383500, Bid count: 0
Account: 0x116DE87ea92CeE3986515C49991af571F738555E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2431392806865877000, Bid count: 0
Account: 0x57512C1c84A54ff7B81a158A5e441c29Bc907374, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2287753178986433000, Bid count: 0
Account: 0x99D3b43ffAbB66Aa6183CC08109927F394ae7FD7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2103874994941456600, Bid count: 0
