Total supply:  1000
############## Round 0 ##############
Account: 0x1f6864bCd737689bEB8b07Ac4a5728cb4bc990Ff, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2104185352217665000, Bid count: 0
Account: 0x0c082170e593A212238e86966Ac0BFd310de94a3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1939453943005676300, Bid count: 0
Account: 0xaCf717991A70d794D7644f5C55e69b4Ca469Fad1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3651847244711146000, Bid count: 0
Account: 0xDb6e4eE0854c68F3De00D95E89C1bFe1aEc35b05, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1854599717060621400, Bid count: 0
Account: 0xce99d51feda194cdc8d48dA6709e6EB69576613a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4999114827579803000, Bid count: 0
Account: 0x83C9F1FF3277D8467972Bb2E0FC1b3254Fe3F4dC, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3850741291578936300, Bid count: 0
Account: 0xbC88646056FE62530dd239AA564e348070808969, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2349571017791972400, Bid count: 0
Account: 0x8D35BD1A53807Ef02f3D1d2E020529251fa2e8af, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2439052292932153400, Bid count: 0
Account: 0xa0eDA712A42d17030FdBa7830c8569Dc4f6B1c9d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3553524640754710000, Bid count: 0
Account: 0x36e37EC72e3675a5B1B9DE86c4DA9f77D9aDFd8e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1822401919398555700, Bid count: 0
Account: 0x4aeD4a6e417fa95AB1cCE40Fe211D4a7e93af969, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2839023874418020000, Bid count: 0
Account: 0x37Fdb1172DFA00daFb73121ffb5E0845B72892e2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2889808431506498000, Bid count: 0
Account: 0x36B472192Fe0e3b4bFeb8395237384c3c4B26B46, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1610634326567462500, Bid count: 0
Account: 0x66034eb422c4DE515065c910cBB5423ec966E12d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2667085779579749000, Bid count: 0
Account: 0x81Bab117df1dcE239dafEe7428Df1054dEf7DB86, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4793918386981780000, Bid count: 0
