Total supply:  1000
############## Round 0 ##############
Account: 0xDbA63D3350b773B78d85C238ad8671ce6c3B63f2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2658565128712205600, Bid count: 0
Account: 0x3B91FB87bb8aB6ad30cB03D243fca91556F8c65A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2706377608336469000, Bid count: 0
Account: 0x5B3e77DF4001972A91EEa42f1a93b0bfEE4A7B5c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2287999296583712000, Bid count: 0
Account: 0xfA773A5FA7F5596444103D19567D7cE6601bbdBF, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3181885664669365600, Bid count: 0
Account: 0xA2C85c508a4539C2194bb0a1511A4934563f0ebe, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2769139644058060200, Bid count: 0
Account: 0xcE1Ad33ECF7fad97999dD8C82123E685Baf2D561, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1469880149107712500, Bid count: 0
Account: 0x0BD6e006973dC3D3AbB2dB4DF3603DfC91718D29, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1473235030961360400, Bid count: 0
Account: 0x65d55B315d4802590fe10F298aE9ce0E73232d44, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2500281332327927600, Bid count: 0
Account: 0xF261aB19Ed82b9c37E5f1F8e133224f364c9AEc2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2303351203916764500, Bid count: 0
Account: 0x4EFc91Ba1F3E234B72BAd23fBd98e3dd4e33E6a6, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1292773014327385000, Bid count: 0
Account: 0x6d0C654A274D82553002a9644E88DF5fc6683B03, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1626033621007414000, Bid count: 0
Account: 0x9568E68DAA80451B6cF85816F2567157D469D20d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2334707343303004600, Bid count: 0
Account: 0x8Bc622C1A487CB725808aa902Ccf4b8446DB4AC9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1424490188720880000, Bid count: 0
Account: 0xC45c0CEb9e45861EB917abA8b478f9048879698F, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2913516068618627700, Bid count: 0
Account: 0x3f5D3B5B34805Ec57c54315D1323e0E332b9E537, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2469276797623727300, Bid count: 0
Account: 0xa66b729E2d758040F869eD0578461dde56CFb11A, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1688656838331697800, Bid count: 0
Account: 0xB479F0B925CA19a76723CcE3b916723D21D22255, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2218388873971681700, Bid count: 0
Account: 0xd11cA8CEb73ED247403eE042061431a2302d3960, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1433993045878939000, Bid count: 0
Account: 0x6CEB1Ba0e4e0A687A9fE3323bB87979dc0D7F5A8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2840850012451971000, Bid count: 0
Account: 0x38B4508A170Df462Cd1e72FcF8905089c59f4138, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1534052892617983000, Bid count: 0
Account: 0x6DCDBF0Af595d7E329A192F6dE4D4c86e0Df99FE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3719271566146162400, Bid count: 0
Account: 0xf0E56EEcb2Ce53D2161a33B123C2F31aD9C89557, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1631803227313636500, Bid count: 0
Account: 0x4c9Fdea326C222A1320732b2c9144Fc2Da14bc20, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1800254853371712200, Bid count: 0
Account: 0xe65bCDDcb5a228f2BF414e8A2292a0a65f633D86, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2406287016077876700, Bid count: 0
Account: 0x6d4Cf2Cc0037A8a9f00911aa809779feCA4718e0, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2072960430793505000, Bid count: 0
Account: 0x4353A111e9354F9D8d01727180Ac64b851608756, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3331822712490668500, Bid count: 0
Account: 0x6F38d9bE2BBf72c0b90dB91180c936c315EAEfa9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4064610640481796000, Bid count: 0
Account: 0x5c13208BB804F62A8db0fDBaB48f09F58B3A5Cea, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2260567979834483000, Bid count: 0
Account: 0x77381E2F116ca914f272B163DF4BB7E4C45239C9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2826948258292540000, Bid count: 0
Account: 0x51c1b9b46d0c8276385cb4c3BBF891Ea2d3972d8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2016463084100373700, Bid count: 0
Account: 0x63Ae5c18a39783423Da375bCe7bBBDfC76c5c9dE, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2866187546655364000, Bid count: 0
Account: 0xcC8A0d2a26D50Bdc1c8442E43E631d842A1CE748, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1638528657308326000, Bid count: 0
Account: 0x6FD64Cea2453DeF2C574B1fbDE51E3B95DE8432D, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2388753515469185000, Bid count: 0
Account: 0x58eb7DA27fcAec850B2413Aa5275aE4B0c1b2e68, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2642015585616954000, Bid count: 0
