Total supply:  1000
############## Round 0 ##############
Account: 0x23eD537dC846652aDCE10D624c3302bA3e7E7C95, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3883022174982777000, Bid count: 0
Account: 0xf2b95C0e0d437B4bD3aAe251eF073a1E1eD9f77C, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2058336089913116700, Bid count: 0
Account: 0x8Aa069B80fE7333D5a960Fc8522d7aA307Ac4746, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4661382246630051000, Bid count: 0
Account: 0xF90794555d7B86dA857B6C12d2ebA703B0eF64C2, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2081591857639869800, Bid count: 0
Account: 0xff25774a6033219dda25F259840E54ec6AbB9bF8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1209371051107287000, Bid count: 0
Account: 0x9e4c5C462fDB2d47A926ccb44FEB364Bfaa28a3E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1989464685564002800, Bid count: 0
Account: 0xf400e30193e0F666271Cd913292d46D15B06D29c, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1986551913048624900, Bid count: 0
Account: 0x0040C3e511396294FeD5003443BE830cF07dE6b4, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1259886902857792600, Bid count: 0
Account: 0x24929A6Eb9C856D5b77e2F670868E9E8025B25e5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2345999216275429500, Bid count: 0
Account: 0x572B14aB2D5Be8e5Dcb0914D16aA35111735FC23, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2247503024730153000, Bid count: 0
Account: 0x3D51e19bc87ea8483DbC0E4e76da467bD9944D11, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1774239587765908000, Bid count: 0
Account: 0xB7d55cF8A384f7B038e9Ee8F471a40F3545ff63d, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2335434095375427000, Bid count: 0
Account: 0xC5a19BA539766A4702BE0A0371a365B38638da16, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1847087562243842700, Bid count: 0
Account: 0xE484e364CcCb34fF4885946590448593dc3164D3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1955140467110415800, Bid count: 0
Account: 0x64e4Da6b909432C6521BD9999793bdDD6E891cf1, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2173457647169118000, Bid count: 0
Account: 0xAB9aAb516D44e99c6a62796503ABcb01A49F6445, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2046157511659348000, Bid count: 0
Account: 0x62D5D693Ce114906B2C3A191B5eAFe969e987d86, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1969210311208959800, Bid count: 0
Account: 0xeC1b30d3ffF2dedE1b99a5d2f5CD21c30aDF2651, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2645966169636859300, Bid count: 0
Account: 0x7D3EC8ED511E8c4255c17fb278A250309c712925, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1919413621858269000, Bid count: 0
