Total supply:  1000
############## Round 0 ##############
Account: 0x3b2e0B78506fE1B1831C34053B704B5A812553F7, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2283479705109407600, Bid count: 0
Account: 0xe00d2F2b5557a4f0d693Dac03E3BE2EFfd24fEf5, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 4847054467970162000, Bid count: 0
Account: 0xfe13a14F96782665e3106c33f94a06D6BBA3ee4b, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2423507478083091000, Bid count: 0
Account: 0xcA54beC2946421fC6CaE53302525FaE74e5B4be3, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2475693361344264400, Bid count: 0
Account: 0xF8aE86b5F73102ACAdB73B190BA44d5fD6B1800a, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2534580178312041600, Bid count: 0
Account: 0x77698f0ff2bb6D11B6E7e314e24ed5525207c091, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2531632768694562300, Bid count: 0
Account: 0xb9E0Dac499Db9E116Ddf520C21D538dc9757030e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1656991612497169500, Bid count: 0
Account: 0xD239dB3115B3Ec1B1766433F7734DdFBFaF52b11, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2914494487793254000, Bid count: 0
Account: 0xb030A8927Ec5Bb7199AFf19a397c1A35d16ab5C8, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1561858918807335300, Bid count: 0
Account: 0xb5d7E2562a29989b4E9624EcB0b9B364D3347429, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2648976945693950500, Bid count: 0
Account: 0xe4b6479b9A094FF47E8fD93F9a80c9eF0550Bd21, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3422395307440872000, Bid count: 0
Account: 0x8B224651465F97f49afBeEA24007d89ab2709Ff9, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3200307888665628700, Bid count: 0
Account: 0xE45364159155358Fe5cB2D1D3868bCfF5dc60448, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1789073843272503000, Bid count: 0
Account: 0xeEAd6d3b63d66b14a9Fa97432D497baB6d45A950, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2368639370936182600, Bid count: 0
Account: 0x889CAc7BCc024eB8b9715eb352Ee29884e98Fd5E, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3767640426615054500, Bid count: 0
Account: 0x35143555888a149b75550126e99E527fE02126bA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3733958989332912400, Bid count: 0
Account: 0x418e075Ef775A723ADeafbBE574AE19AF5E36786, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2705863334706539700, Bid count: 0
Account: 0xE8352622cDBBF49af52EDF7841e81B21b50CA842, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1833988857308301900, Bid count: 0
Account: 0x5135Eb9B295c2EE879aA928acA1d54A813D68cbD, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2623269495278971700, Bid count: 0
Account: 0x49B2D95bCA777b8F126c1Cb03411487F025B168e, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 1784046717000274000, Bid count: 0
Account: 0x65F8d0019f3291c456593D20858ED3C179B491EA, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 3674382646306160000, Bid count: 0
Account: 0xf602016b011B2E3149DB8609A01fFb0C1E0c6b15, NFT minting price: 0, lastBaseFeePerGas: 7, Balance: 2071528362058190000, Bid count: 0
